orderId,shouldCurId,movieName,rateValue(x/10),评价人数,短评数量,5星占比,4星占比,3星占比,2星占比,1星占比,description,额外信息
28,24773958,复仇者联盟3：无限战争 Avengers: Infinity War,8.1,787436,209099, 33.4%, 43.5%, 19.8%, 2.4%, 0.9%,"导演: 安东尼·罗素 / 乔·罗素
主演: 小罗伯特·唐尼 / 克里斯·海姆斯沃斯 / 克里斯·埃文斯
类型: 动作 / 科幻 / 奇幻 / 冒险
制片国家/地区: 美国
年份: 2018","23.9"
29,26575103,捉妖记2,4.9,367909,112794, 2.4%, 7.5%, 37.6%, 37.8%, 14.7%,"导演: 许诚毅
主演: 梁朝伟 / 白百何 / 井柏然
类型: 喜剧 / 动作 / 奇幻 / 古装
制片国家/地区: 中国大陆/中国香港
年份: 2018","22.37"
30,27038183,羞羞的铁拳,6.8,722376,201702, 11.0%, 33.1%, 43.3%, 10.1%, 2.5%,"导演: 宋阳 / 张吃鱼
主演: 艾伦 / 马丽 / 沈腾
类型: 喜剧 / 奇幻
制片国家/地区: 中国大陆
年份: 2017","22.136"
31,25986662,疯狂的外星人,6.4,697943,222219, 8.2%, 27.0%, 44.8%, 15.7%, 4.3%,"导演: 宁浩
主演: 黄渤 / 沈腾 / 汤姆·派福瑞
类型: 喜剧 / 科幻
制片国家/地区: 中国大陆
年份: 2019","22.132"
32,35765480,八角笼中,7.3,380587,145790, 15.1%, 42.4%, 36.6%, 5.0%, 0.9%,"导演: 王宝强
主演: 王宝强 / 陈永胜 / 史彭元
类型: 剧情 / 动作
制片国家/地区: 中国大陆
年份: 2023","22.07"
33,3878007,海王 Aquaman,7.6,891883,273316, 20.9%, 42.9%, 30.8%, 4.5%, 0.9%,"导演: 温子仁
主演: 杰森·莫玛 / 安珀·赫德 / 威廉·达福
类型: 动作 / 奇幻 / 冒险
制片国家/地区: 美国/澳大利亚
年份: 2018","20.13"
34,7054604,变形金刚4：绝迹重生 Transformers: Age of Extinction,6.7,335356,92822, 12.4%, 28.6%, 44.3%, 11.7%, 3.1%,"导演: 迈克尔·贝
主演: 马克·沃尔伯格 / 斯坦利·图齐 / 凯尔希·格兰莫
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国/中国大陆/中国香港
年份: 2014","19.76"
35,26662193,前任3：再见前任,5.5,402497,137573, 6.1%, 16.2%, 39.5%, 25.1%, 13.1%,"导演: 田羽生
主演: 韩庚 / 郑恺 / 于文文
类型: 喜剧 / 爱情
制片国家/地区: 中国大陆
年份: 2017","19.41"
36,3168101,毒液：致命守护者 Venom,7.2,838157,216294, 11.8%, 42.0%, 40.2%, 5.3%, 0.7%,"导演: 鲁本·弗雷斯彻
主演: 汤姆·哈迪 / 米歇尔·威廉姆斯 / 里兹·阿迈德
类型: 动作 / 科幻 / 惊悚
制片国家/地区: 美国/中国大陆
年份: 2018","18.7"
37,36035676,长安三万里,8.3,591304,243207, 40.6%, 38.1%, 17.0%, 3.2%, 1.1%,"导演: 谢君伟 / 邹靖
主演: 杨天翔 / 凌振赫 / 吴俊全
类型: 历史 / 动画
制片国家/地区: 中国大陆
年份: 2023","18.24"
38,26182910,功夫瑜伽,5,189558,64135, 3.6%, 9.9%, 35.1%, 33.3%, 18.0%,"导演: 唐季礼
主演: 成龙 / 李治廷 / 张艺兴
类型: 喜剧 / 动作 / 冒险
制片国家/地区: 中国大陆/印度
年份: 2017","17.48"
39,30163509,飞驰人生,6.8,931181,277201, 11.3%, 34.6%, 41.4%, 10.4%, 2.3%,"导演: 韩寒
主演: 沈腾 / 黄景瑜 / 尹正
类型: 喜剧
制片国家/地区: 中国大陆
年份: 2019","17.28"
40,1652587,阿凡达 Avatar,8.8,1460416,277619, 54.2%, 34.9%, 9.9%, 0.8%, 0.3%,"导演: 詹姆斯·卡梅隆
主演: 萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2009","17.15"
41,35460157,人生大事,7.3,608481,233905, 15.1%, 43.4%, 35.5%, 5.0%, 1.0%,"导演: 刘江江
主演: 朱一龙 / 杨恩又 / 王戈
类型: 剧情 / 家庭
制片国家/地区: 中国大陆/中国香港
年份: 2022","17.12"
42,30221757,烈火英雄,6.4,323283,109735, 9.6%, 24.6%, 45.0%, 15.9%, 4.9%,"导演: 陈国辉
主演: 黄晓明 / 杜江 / 谭卓
类型: 剧情 / 灾难
制片国家/地区: 中国大陆
年份: 2019","17.06"
43,4811774,阿凡达：水之道 Avatar: The Way of Water,7.8,585138,230085, 26.3%, 44.0%, 24.8%, 3.9%, 1.0%,"导演: 詹姆斯·卡梅隆
主演: 萨姆·沃辛顿 / 佐伊·索尔达娜 / 西格妮·韦弗
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2022","16.97"
44,26416062,侏罗纪世界2 Jurassic World: Fallen Kingdom,6.6,382223,105164, 6.8%, 30.6%, 52.1%, 9.4%, 1.2%,"导演: J·A·巴亚纳
主演: 克里斯·帕拉特 / 布莱丝·达拉斯·霍华德 / 贾斯蒂斯·史密斯
类型: 动作 / 科幻 / 冒险
制片国家/地区: 美国
年份: 2018","16.959"
45,3077412,寻龙诀,7.4,616032,184795, 17.3%, 44.0%, 32.6%, 4.9%, 1.2%,"导演: 乌尔善
主演: 陈坤 / 黄渤 / 舒淇
类型: 剧情 / 动作 / 奇幻 / 冒险
制片国家/地区: 中国大陆/中国香港
年份: 2015","16.78"
46,25801066,西游伏妖篇,5.5,356729,146010, 7.7%, 15.9%, 36.1%, 25.8%, 14.5%,"导演: 徐克
主演: 吴亦凡 / 林更新 / 姚晨
类型: 喜剧 / 动作 / 奇幻 / 古装
制片国家/地区: 中国大陆/中国香港
年份: 2017","16.52"
47,25710912,港囧,5.7,398902,111870, 5.4%, 14.8%, 45.7%, 25.7%, 8.4%,"导演: 徐峥
主演: 徐峥 / 包贝尔 / 杜鹃
类型: 喜剧
制片国家/地区: 中国大陆
年份: 2015","16.14"
